index,pos,bred,age
0,"array([ 0.24047997, -9.66933281])",4,7
1,"array([ 0.29517385, -9.86840664])",1,10
2,"array([ 0.14610805, -9.82046048])",2,9
3,"array([ 0.32191249, -9.73855291])",3,7
4,"array([ 0.08232645, -9.9130602 ])",3,12
5,"array([ 0.33534895, -9.64557243])",4,8
6,"array([ 0.14830097, -9.50592061])",1,11
7,"array([ 0.19673531, -9.91438017])",1,10
8,"array([ 0.15341332, -9.69326809])",1,6
9,"array([ 0.02253372, -9.82988771])",0,8
10,"array([-0.07260921, -9.89558993])",0,7
11,"array([ 0.16371968, -9.60408559])",2,8
12,"array([ 0.22227733, -9.7842195 ])",1,6
13,"array([ 0.08166554, -9.75385038])",0,6
14,"array([ 0.26574266, -9.54624673])",1,5
15,"array([ 0.05620039, -9.55666188])",0,12
16,"array([ 0.05996384, -9.65163871])",0,8
17,"array([-0.06653656, -9.62830054])",0,9
18,"array([-0.04069425, -9.73002297])",2,10
19,"array([ 0.42526033, -9.7773927 ])",1,12
20,"array([ 0.35983806, -9.98210182])",1,6
21,"array([  0.17867956, -10.10266523])",0,11
22,"array([ 0.41447473, -9.4125283 ])",3,8
23,"array([ 0.10146756, -9.32088382])",4,8
24,"array([ 0.23959539, -9.402297  ])",3,12
25,"array([-8.65424455e-03, -9.44959131e+00])",1,7
